Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2017-02-19T00:00:00Z,41.5,-120.1,1,1361,1,6.03,80.6,0.899,113.6,6.5,3.6,0
2015-07-13T00:00:00Z,38.3,-121.1,0,52,-4,0,34.7,0.055,427.3,12.4,26.7,0
2021-02-09T00:00:00Z,36.7,-121.3,0,194,3,0.15,68,0.829,107.4,6,18,0
2017-03-03T00:00:00Z,41.9,-120.7,0,1609,3,0,53.9,1.126,269.2,12.3,6.2,0
2015-07-27T00:00:00Z,38.4,-122.3,0,246,-4,0,33.4,0.13,448.3,9.9,26,0
2020-08-24T00:00:00Z,38.3,-123,1,24,-4,0,82.3,0,301.2,10.4,20,0
2021-02-11T00:00:00Z,38.9,-120.2,1,2450,-4,0.02,81.8,0.435,220,15.1,-0.1,0
2015-08-22T00:00:00Z,39.7,-122.1,0,55,-4,0,27.2,0.101,381.4,15.6,30.7,0
2015-02-05T00:00:00Z,38.9,-122.6,0,420,4,0,44.3,0.798,140.7,10.7,18.7,0
2021-06-28T00:00:00Z,39.1,-121.3,0,116,-4,0,20.5,0.028,413.5,17.2,39.3,0
2019-10-10T00:00:00Z,39,-121.8,0,13,-4,2.33,10.1,0.058,237.2,32.1,29.4,0
2019-08-26T00:00:00Z,36.9,-121.1,0,356,-3,0,32,0.057,373.8,8.9,32.6,0
2014-11-08T00:00:00Z,36.7,-118.9,0,1931,-2,0,41.7,0.792,97.7,4.9,15.1,0
2017-07-07T00:00:00Z,36.6,-121.1,0,675,-3,0,22.2,0,419.4,12.8,32.2,0
2016-09-18T00:00:00Z,41.9,-121.1,0,1363,-4,0,23.4,0.045,294.8,14.4,23.4,0
2020-12-25T00:00:00Z,36.7,-120.9,0,433,-4,0,39.3,0,8.9,9.7,15.3,0
2019-02-04T00:00:00Z,36,-118.9,0,263,1,14.17,76.7,0.898,37.4,22.6,12.5,0
2020-10-04T00:00:00Z,41.9,-119.3,0,1913,-3,0,11.1,0.156,223.3,15.4,22.4,0
2021-07-22T00:00:00Z,41.8,-120.3,0,1851,-3,0,9.8,0.137,461.9,17.6,24.2,0
2015-02-24T00:00:00Z,38.6,-122.3,0,358,4,0,24.9,0.923,325,45.2,13.3,0
2014-06-16T00:00:00Z,39.6,-120.8,0,1163,-1,0,20,0.356,453.1,11.7,19.5,0
2017-08-26T00:00:00Z,38.7,-121.4,0,24,-1,0,18.1,0.067,376.8,12.9,34.4,0
2017-03-11T00:00:00Z,38.5,-122.3,0,394,4,0,46.8,1.047,318.9,9.6,19.2,0
2017-02-05T00:00:00Z,41,-120.1,1,1813,0,0,87.6,0.775,92.8,39.3,0.4,0
2016-10-23T00:00:00Z,40.3,-119.5,0,1497,-3,0,36.1,0.248,26.3,10.2,16,0
2014-12-17T00:00:00Z,41.8,-119.1,0,1515,-2,1.66,86,0.491,4.3,16.8,0.4,0
2016-04-28T00:00:00Z,37.8,-121,0,33,-4,4.99,68.5,0.151,266.6,20.6,19,0
2019-12-05T00:00:00Z,40.7,-120.9,1,1701,-3,0,92.3,0.378,12.8,14.8,1.8,0
2018-05-01T00:00:00Z,37.3,-121.1,0,84,-4,0,44.1,0,249.7,12.9,17.5,0
2016-10-10T00:00:00Z,40.1,-120.4,0,1734,-3,0,15.4,0,217.6,15.1,18.5,0
2019-02-19T00:00:00Z,36.7,-118.1,0,1127,1,0,37.1,0.998,292.4,9.4,-0.5,0
2019-10-12T00:00:00Z,39.7,-121.1,0,1393,-4,0,26.3,0.56,232.9,21.6,16.1,0
2015-11-01T00:00:00Z,41.9,-121.2,0,1363,-2,0,59.9,0.539,65,23.9,15.7,0
2014-09-19T00:00:00Z,37,-120.1,0,78,-4,0,37.8,0.044,272.1,18.2,32.5,0
2014-05-28T00:00:00Z,41.2,-121.9,0,1532,1,0,16.8,0.414,473.6,21.8,18.3,0
2016-04-06T00:00:00Z,39.7,-120.8,0,1774,4,0,42.7,1.41,416.5,26.8,11.1,0
2014-02-16T00:00:00Z,38.4,-120.7,1,650,1,0,82,1.202,29.4,24.2,14.8,0
2017-08-28T00:00:00Z,37.8,-121.3,0,3,-2,4.87,16.4,0.053,358.7,20.6,38.7,0
2014-10-09T00:00:00Z,38.3,-121.7,0,0,-4,0,18.4,0.032,210.7,15.2,32.6,0
2019-02-06T00:00:00Z,40,-121.1,0,1364,4,0.67,55.6,1.261,41.8,10.9,-2.1,0
2019-09-19T00:00:00Z,37.1,-121.2,0,440,-4,0,61.8,0.02,242.2,17.6,22,0
2015-11-22T00:00:00Z,39.1,-120.7,0,1051,-1,0,56.3,1.054,11.2,20,16.3,0
2021-07-03T00:00:00Z,39.9,-121.4,0,1343,-4,0,26.4,0.119,425.7,9.6,26.5,0
2018-12-01T00:00:00Z,39.7,-121.1,1,1393,-2,4.13,84,1.303,62,14.9,1.6,0
2016-10-19T00:00:00Z,38,-122,0,34,-4,0,49.4,0,194.8,17.9,18.8,0
2020-09-27T00:00:00Z,39.9,-120.5,0,1765,-4,0,35.2,0.025,225.8,14.1,20.4,0
2020-07-18T00:00:00Z,36,-120,0,198,-4,0.3,18.2,0,392.2,10.2,35.7,0
2015-09-02T00:00:00Z,39.3,-122,0,17,-4,0,16.1,0,349,16.4,33,0
2021-09-19T00:00:00Z,38.7,-121,0,412,-4,0,53.4,0,292.3,18.2,26.9,0
2016-07-20T00:00:00Z,41.5,-119.1,0,1777,-2,0,17.5,0.228,431.2,20.6,21.9,0
2014-01-26T00:00:00Z,38.7,-121.8,0,23,-1,0,16.5,0,184.8,13.3,22.3,0
2014-03-06T00:00:00Z,39.5,-120.2,1,2140,4,0,74.5,1.357,168.4,24,6.6,0
2019-09-16T00:00:00Z,39.1,-122.4,0,354,-4,0,27.5,0,299.5,26.1,34.9,0
2020-08-06T00:00:00Z,37.1,-119.5,0,647,-4,0.7,22,0.092,395.7,9.1,30.6,0
2019-09-16T00:00:00Z,36.1,-121.2,0,434,-4,0.37,19.4,0.015,301.6,5.9,34.5,0
2021-05-03T00:00:00Z,36.6,-120.6,0,200,-4,0,20,0,395.1,26.9,25,0
2014-08-07T00:00:00Z,39.4,-120.5,0,2195,-2,5.02,68.9,0.678,327.5,8.6,14.3,0
