Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2013-08-17T15:25:00Z,37.857,-120.086,0,835,-4,0,23.7,0,210.1,9.4,28.9,1
2013-05-30T15:28:00Z,34.585595,-118.423176,0,833,-3,0,34,0.091,328.5,19,24.9,1
2013-07-15T13:43:00Z,33.7095,-116.72885,0,1376,-3,0,39.3,0.136,17.8,8,28.4,1
2013-08-10T16:30:00Z,39.12,-120.65,0,1336,-4,0,44.5,0,492.7,11.4,18.3,1
2013-07-22T22:15:00Z,37.279,-119.318,0,1129,-4,1.1,33.4,0.172,301.2,7.4,27,1
2013-08-07T14:05:00Z,33.86157,-116.90427,0,891,-4,0,33,0.068,47.9,10.1,27.3,1
2013-07-31T22:00:00Z,41.32,-123.176,0,625,-4,0,34.9,0,757.3,8.5,28.4,1
2013-08-10T11:40:00Z,41.035,-123.488,1,1477,-4,1.68,68,0.128,0,4.8,17.8,1
2013-08-23T14:15:00Z,40.04263,-121.85397,0,583,-4,0.08,35.2,0.018,11.7,11.3,27.3,1
2013-09-09T12:32:00Z,40.498332,-122.535496,0,315,-4,0,27.6,0,0,10.5,34.7,1
2013-07-06T12:55:00Z,32.95435,-116.47381,0,967,-4,0.85,46.2,0.076,1,12.2,30.8,1
2013-05-01T09:12:00Z,40.190062,-121.595555,0,1372,-4,0,18.8,0.221,0,27.8,16.7,1
2013-05-15T12:50:00Z,34.7861,-118.9411,0,2204,-4,0,22,0,0,10.8,15.3,1
2013-05-15T12:50:00Z,34.7861,-118.9411,0,2204,-4,0,22,0,0,10.8,15.3,1
2013-11-22T02:04:00Z,38.8167,-122.8498,0,487,-4,0.69,58.1,0.436,0,20.6,11.7,1
2013-05-01T12:38:00Z,34.288877,-116.941311,0,2395,-4,0,35.1,0,0,15.3,12.6,1
2013-09-08T13:08:00Z,37.90757,-121.882582,0,322,-3,0,33.3,0.123,0,11.6,29.3,1
2013-05-23T12:20:00Z,33.12111,-116.52579,0,750,-4,0,48.7,0.036,0,18.6,24.7,1
2013-08-16T16:37:00Z,39.446268,-121.38236,0,388,-4,0,31.2,0.33,478.2,15.7,30.4,1
2013-10-05T12:45:00Z,33.341,-117.3092,0,96,-4,0,42.3,0.024,0,8.1,26.7,1
2013-08-24T14:31:00Z,36.208,-118.444,0,1948,-4,0,33.5,0.379,96.6,8.9,16.7,1
2013-05-27T14:45:00Z,34.55048,-119.82429,0,289,-4,0,51.2,0,159.4,21.5,22,1
2013-06-16T14:12:00Z,37.58202,-119.91071,0,1041,-4,0,25.8,0.014,84.5,11,22.8,1
2013-08-05T10:10:00Z,33.62236,-117.40288,0,767,-4,0,38.2,0.159,0,7,23.9,1
2013-05-26T12:04:00Z,33.04458,-116.5209,0,1123,-4,0,49.9,0.039,0,16.7,20.5,1
2013-08-05T06:00:00Z,38.25108,-120.02778,0,1189,-4,0,32.7,0.048,0,10.6,24.3,1
2013-08-18T23:12:00Z,35.707,-118.588,0,1728,-4,1.27,32.5,0,492.8,6.7,23.4,1
2013-07-19T12:00:00Z,34.882,-118.9194,0,1270,1,0,23.2,0.489,0,10.2,26.2,1
2013-05-17T13:23:00Z,34.49149,-118.610044,0,364,-3,0,60.9,0.095,6.2,10,23,1
2013-07-23T09:15:00Z,34.90327,-118.93388,1,1200,0,4.69,61.7,0.431,0,4,24.2,1
2013-07-08T12:45:00Z,38.774,-120.298,0,1265,-3,0,36.4,0.509,0,15,25.7,1
2013-06-28T14:30:00Z,34.071556,-117.048397,0,827,-4,0,38.9,0.083,126.6,7.3,31.8,1
2013-08-18T18:30:00Z,40.00842,-120.764666,0,1643,-4,0,33.2,0.11,787.2,10,24.7,1
2013-05-04T11:43:00Z,33.894055,-116.855019,0,943,-4,0,12.1,0.073,0,9.6,25.8,1
2013-07-03T22:56:00Z,41.2415,-121.035,0,1411,-4,0.36,44.4,0,443.7,10,32.5,1
2013-06-01T17:27:00Z,35.15832,-120.05131,0,808,-1,0,17.3,0.033,669.5,19,25.2,1
2013-07-01T13:19:00Z,37.96866,-121.91453,0,314,-3,0,38.2,0.162,4.1,19.4,31.4,1
